9782011,《宪法》规定“保卫祖国、抵抗侵略是中华人民共和国每一个公民的(   )”。<br />,9763651,\u4E1D\u7EF8\u4E4B\u8DEF\u7ECF\u6D4E\u5E26;21\u4E16\u7EAA\u6D77\u4E0A\u4E1D\u7EF8\u4E4B\u8DEF
9775151,划分唯物史观与唯心史观的根据是(   )。,9763654,false
9774885,只承认量变，不承认质变就会导致(   )。,9764029,\u4F1F\u5927\u5DE5\u7A0B;\u4F1F\u5927\u4E8B\u4E1A
9780584,《宪法》规定“保卫祖国、抵抗侵略是中华人民共和国每一个公民的(   )”。<br />,9764031,\u793E\u4F1A\u4E3B\u4E49\u73B0\u4EE3\u5316\u5F3A\u56FD
9774980,马克思和恩格斯进一步发展和完善了英国古典经济学理论是(   )。,9764415,\u515A\u98CE
9781034,邓小平理论形成的时代背景是(   )成为时代主题。,9764564,\u300A\u8BBA\u5341\u5927\u5173\u7CFB\u300B
9819727,美国的对外贸易政策具有两面性与双重标准的特征，对外出口主张自由贸易，进口商品却实施（）政策。,9764580,true
9819823,新型冠状病毒感染的肺炎是一种全新的冠状病毒肺炎，该病毒具有人群易感性。目前以（）发病多见。,9764911,false
9768390,爱国主义是人们对自己故土家园、种族和文化的归属感、（）、尊严感与荣誉感的统一。 ,9765028,false
9781285,2010年，中国已经形成了以(   )为核心的中国特色社会主义法律体系，为改革开放和社会主义现代化建设提供了有力的法治保障。,9765137,false
9782067,实现理想会出现逆境逆境(   )。<br />,9765691,\u9A6C\u514B\u601D\u4E3B\u4E49
9781130,习近平同志指出，实现中国梦必须凝聚中国力量。所谓中国力量，就是(   )。,9765909,\u65E5\u672C
9819841,如果出现发热、乏力、肌肉酸痛、咳嗽、咳痰、气促等症状，都应及时救医，并同时告诉医生发病前（）的旅行史，以便医生快速做出诊断。,9766547,false
9781984,凡具有中华人民共和国国籍的人都是中华人民共和国(   )。<br />,9766783,\u751F\u4EA7\u529B\u548C\u751F\u4EA7\u5173\u7CFB;\u7ECF\u6D4E\u57FA\u7840\u548C\u4E0A\u5C42\u5EFA\u7B51
9775995,在我国社会主义初级阶级社会主义集体主义道德原则具有多层次的道德要求。其中最基本的道德要求是(   )。<br />,9767367,\u6CD5\u5F8B
9775999,道德发挥作用的性质与社会发展的不同历史阶段相联系由道德所反映的(   )所决定。<br />,9767389,true
9775848,理想区别于幻想、空想的特点是<br />,9767951,\u7A7A\u60F3
9781137,中国梦归根结底是(   )的梦。,9768327,B
9775211,“蒸汽、电力和自动纺织机甚至是比巴尔贝斯、拉斯拜尔和布朗基诸位公民更危险万分的革命家。”这一论断的含义是(   )。,9768342,A;B;C
9775000,关于当代科学技术革命的兴起和发展对马克思主义产生影响的错误理解是(   )。,9768390,B
9774919,在中国，为了治疗疾病，古代就产生了中医学。这说明(   )。,9768523,A
9775965,主张个人本身就是目的具有最高价值社会和他人只是达到个人目的的手段的是(   )人生观。<br />,9768526,B
9781604,爱国主义的基础是<br />,9768662,false
9780878,人类最初的道德是以(     )等形式表现出来<br />,9774875,C
9776102,新文化运动的第一旗手是 ( ) ,9774885,A
9775859,爱国主义精神的落脚点和归宿是<br />,9774919,A
9774875,事物矛盾问题的精髓是(   )。,9774980,C
9781311,军队必须完全地无条件地置于中国共产党的领导之下，军队最高领导权和指挥权属于(   )。,9775000,B
